name of company,college name,region,year,Salary
MIRRAW,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,439440
SABA SOFTWARE,COLLEGE OF ENGINEERING PUNE,PUNE,2016,728993
RAJA SOFTWARE LABS,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2016,441942
RAVE TECHNOLOGIES,COLLEGE OF ENGINEERING PUNE,PUNE,2017,418798
CREDIT SUISSE,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,982507
RUBIQUE,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2014,1026836
HCL TECHNOLOGIES,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2015,304676
TATA,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015,96681
WNS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,402764
GOOGLE,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2015,52144
BANK OF AMERICA,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,791005
INFOGAIN,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2017,403646
AMAZON,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2015,444450
ORANGE,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2018,20399
ZENSAR TECHNOLOGIES,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2015,482534
CRMNEXT,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018,26282
INDUS VALLEY PARTNERS,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2015,765409
MINDTREE,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2014,17932
THIRDWARE SOLUTION,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2015,443514
JOHNSON CONTROLS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2016,780560
SIEMENS,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2017,474215
ZYCUS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,17663
CREDIT SUISSE,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2015,978845
MICROSOFT,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2016,424233
MPHASIS,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2017,723090
HEXAWARE TECHNOLOGIES,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2014,30869
ZYCUS,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,17444
DIRECTI,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2017,1703771
INFOGAIN,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2016,220311
CAPITA,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2016,585588
UBS,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2014,1826942
ZYCUS,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2017,17133
CALSOFT,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2017,16602
NEWGEN SOFTWARE,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015,443515
SIEMENS,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2017,485744
LARSEN & TOUBRO,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2018,1796400
INFOSYS,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2015,643776
NUCSOFT,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2014,231610
NEWGEN,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2017,11083
IGATE,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2015,31532
NVIDIA,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2015,247729
ORIENT TECHNOLOGIES,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,26708
UGAM,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015,535465
UBS,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2015,374439
MORGAN STANLEY,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2016,1736046
RUBIQUE,MIT COLLEGE OF ENGINEERING,PUNE,2014,978981
AMAZON,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2014,439796
CMC,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2018,180517
QUINNOX,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2015,808082
CAPGEMINI,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2014,793584
SYNTROSYS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2016,937996
UBS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,1850980
CRMNEXT,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2016,26680
IDBI INTECH,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2015,540817
CAPGEMINI,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,390727
SCHNEIDER ELECTRIC,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018,443321
IBM,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2014,432899
CMC,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2017,427219
ACCOLITE,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2017,1175242
VPHRASE,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2018,417538
WIPRO,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018,482145
SYMANTEC,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2014,15658
IDBI INTECH,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,378711
CLOVER INFOTECH,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2018,17460
IBM,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,447226
JIO,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2017,734589
RAJA SOFTWARE LABS,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2018,443321
UBS,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2014,1842499
CRMNEXT,MIT COLLEGE OF ENGINEERING,PUNE,2017,26759
INGRAM MICRO,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2016,357120
MORGAN STANLEY,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2016,1784514
GOOGLE,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2017,45105
WEATHERFORD,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,501096
VERIZON,MIT COLLEGE OF ENGINEERING,PUNE,2018,554151
GEP,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,755508
MASTEK,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2018,305980
DIRECTI,MIT COLLEGE OF ENGINEERING,PUNE,2015,25600
MPHASIS,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,724122
MICROSOFT,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2014,1176245
MAJESCO,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018,485992
BANK OF AMERICA,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2016,891691
GODREJ INFOTECH,"SHREE RAMCHANDRA COLLEGE OF ENGINEERING,PUNE",PUNE,2016,372477
SABA SOFTWARE,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2014,708218
IBM INDIA,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2017,566421
JOHNSON CONTROLS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2014,980047
QUANTIPHI,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2017,30864
XORIANT,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2016,666570
CAPGEMINI,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018,393609
JOHNSON CONTROLS,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2018,810251
INFOGAIN,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2014,229723
IDBI INTECH,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2014,557758
CAPGEMINI,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,390727
LARSEN & TOUBRO,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2015,1764982
TIBCO SOFTWARE,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2017,1284385
MEDIA.NET,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,560803
IBM INDIA,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2016,561320
EDELWEISS FINANCIAL SERVICES,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2018,935975
NUCSOFT,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2014,226582
QUINNOX,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2016,446973
INDUS VALLEY PARTNERS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,30541
MAQ SOFTWARE,COLLEGE OF ENGINEERING PUNE,PUNE,2018,760901
IBM,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,364709
TCS,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2014,372802
VERIZON,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2016,556754
MPHASIS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2016,487898
UGAM,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,783087
MORGAN STANLEY,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2017,515321
CAPGEMINI,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,398841
KPIT TECHNOLOGIES,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2014,794813
NVIDIA,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2014,21669
SIEMENS,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2014,492276
VPHRASE,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2016,409730
MAJESCO,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2016,485992
AMDOCS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2015,668431
NUCSOFT,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018,227119
MORGAN STANLEY,COLLEGE OF ENGINEERING PUNE,PUNE,2017,529932
CREDIT SUISSE,"SHREE RAMCHANDRA COLLEGE OF ENGINEERING,PUNE",PUNE,2018,957887
CAPGEMINI,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2018,796048
SAINT-GOBAIN,MIT COLLEGE OF ENGINEERING,PUNE,2018,730114
BNP PARIBAS,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,53693
IDBI INTECH,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2015,538868
MORGAN STANLEY,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2014,530451
XORIANT,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,454180
NVIDIA,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2015,249519
CIMPRESS,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2016,1384586
DIRECTI,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2016,1649407
ZYCUS,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2016,41974
NVIDIA,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2018,22327
ACCENTURE,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2017,300841
WNS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,409027
NVIDIA,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,245813
CRMNEXT,MIT COLLEGE OF ENGINEERING,PUNE,2015,26486
GEOMETRIC SOFTWARE SOLUTIONS,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2017,351174
VISA INC.,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2015,1156787
SIEMENS,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,494440
PROTEGRITY,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018,51849
CLOVER INFOTECH,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2016,375392
PC TECHNOLOGY,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2015,798523
MIRRAW,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,30914
CREDIT SUISSE,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2018,292566
INFORMATICA,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2015,390466
ACCENTURE,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2018,664502
ACCOLITE,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2015,134312
ADOBE,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2018,111445
BNP PARIBAS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2016,38731
OSP LABS,"SHREE RAMCHANDRA COLLEGE OF ENGINEERING,PUNE",PUNE,2016,861597
QUINNOX,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2014,446689
ENDURANCE INTERNATIONAL GROUP,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2016,758477
SIEMENS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2017,503090
IBM,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2017,440139
LIONBRIDGE,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2017,42822
LIONBRIDGE,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,43867
NUCSOFT,MIT COLLEGE OF ENGINEERING,PUNE,2015,29577
QUANTIPHI,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2014,30571
SYMANTEC,MIT COLLEGE OF ENGINEERING,PUNE,2018,16303
HEXAWARE TECHNOLOGIES,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2017,747755
AMAZON,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2015,20482
BOOKMYSHOW,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,363631
MORGAN STANLEY,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018,515321
HCL TECHNOLOGIES,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,305980
VPHRASE,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2018,401476
TCS,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2018,353030
TECH MAHINDRA,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,485992
GEOMETRIC,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2016,439054
BNP PARIBAS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,54264
MAQ SOFTWARE,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2015,1681973
TOPPR.COM,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2014,403613
ACCENTURE,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2017,652951
UBS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2014,387299
INFOSYS,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2014,621848
MICROSOFT,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2018,431147
RAJA SOFTWARE LABS,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2016,437069
HCL TECHNOLOGIES,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,312484
INFOSYS,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018,636636
NEOSOFT TECHNOLOGIES,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,479387
CAPGEMINI,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2015,392372
AMAZON,COLLEGE OF ENGINEERING PUNE,PUNE,2015,451912
HEXAWARE TECHNOLOGIES,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,31493
NUCSOFT,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2018,226113
QUINNOX,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,447417
LARSEN & TOUBRO,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2018,1753029
RAVE TECHNOLOGIES,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2015,416778
NETWORK 18,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2018,430104
QUINNOX,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,446973
LTI,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018,1254848
MU SIGMA,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2017,689624
GEOMETRIC,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,434296
BOOKMYSHOW,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,352813
SIEMENS,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,489493
XL DYNAMICS,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2015,677323
LIONBRIDGE,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2015,44037
SIEMENS,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2016,495844
ATOS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,25600
NSEIT,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2016,58973
ACCENTURE,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,299512
TCS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2017,368897
CAPITA,COLLEGE OF ENGINEERING PUNE,PUNE,2017,573200
CMS IT SERVICES,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2017,437046
NUCSOFT,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2014,220298
CALSOFT,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2015,16212
DELOITTE,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2018,721362
INFOGAIN,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2018,228786
MPHASIS,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2017,493328
PROTEGRITY,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015,51686
ZYCUS,"SHREE RAMCHANDRA COLLEGE OF ENGINEERING,PUNE",PUNE,2017,17142
SCHNEIDER ELECTRIC,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2016,108013
OSP LABS,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2015,861877
MORGAN STANLEY,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2015,1741748
UGAM,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2014,533197
THIRDWARE SOLUTION,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2016,435950
BNP PARIBAS,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2018,38791
ATOS,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2017,689425
HEXAWARE TECHNOLOGIES,"SHREE RAMCHANDRA COLLEGE OF ENGINEERING,PUNE",PUNE,2017,783561
WEATHERFORD,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2017,511479
NUCSOFT,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,225812
CYBAGE SOFTWARE,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2014,598189
ORACLE,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2018,485375
NUCSOFT,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2015,29563
CAPITA,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,579967
GEP,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018,736274
ACCOLITE,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2015,1165202
CAPGEMINI,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2014,793365
BANK OF AMERICA,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2014,788943
INFOGAIN,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,415614
MIRRAW,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2014,31331
HEXAWARE TECHNOLOGIES,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,743578
UGAM,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2017,795958
HEXAWARE TECHNOLOGIES,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2017,30598
SAP,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,786986
AMAZON,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2015,19822
MPHASIS,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2018,722573
ECLINICALWORKS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,335685
ACCENTURE,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,679315
ORACLE,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,485178
ECLINICALWORKS,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2014,336597
MASTEK,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2015,38295
CREDIT SUISSE,COLLEGE OF ENGINEERING PUNE,PUNE,2017,943053
MEDIA.NET,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2018,579391
DELOITTE,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,329421
INGRAM MICRO,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,368278
CAPGEMINI,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,389121
MPHASIS,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,470402
TCS,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2014,365160
CAPGEMINI,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018,390727
TATA,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2014,94562
CREDIT SUISSE,MIT COLLEGE OF ENGINEERING,PUNE,2018,304415
INFIBEAM,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2015,179577
ATIDAN,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2015,935975
MORGAN STANLEY,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2017,501995
ATOS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2016,25600
HEWLETT-PACKARD,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2015,55523
QAD,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2015,878375
ATIDAN,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2014,954521
